,effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,sig,,,,,,,,,,,,,,,,,,,,
22,fixed,NA,Block5-4:Group1,-0.0061,0.006,-1.023,0.31,-0.018,0.006,does not survive,,,,,,,,,,,,,,,,,,,,
23,fixed,NA,Session1:Group1,0.0027,0.005,0.533,0.597,-0.007,0.013,does not survive,,,,,,,,,,,,,,,,,,,,
24,fixed,NA,Probability1:Block2-1:Session1,0.0029,0.003,1.066,0.286,-0.002,0.008,does not survive,,,,,,,,,,,,,,,,,,,,
25,fixed,NA,Probability1:Block3-2:Session1,-0.0007,0.003,-0.235,0.814,-0.006,0.005,does not survive,,,,,,,,,,,,,,,,,,,,
26,fixed,NA,Probability1:Block4-3:Session1,0.0021,0.003,0.7,0.484,-0.004,0.008,does not survive,,,,,,,,,,,,,,,,,,,,
27,fixed,NA,Probability1:Block5-4:Session1,-0.0021,0.003,-0.659,0.51,-0.008,0.004,does not survive,,,,,,,,,,,,,,,,,,,,
28,fixed,NA,Probability1:Block2-1:Group1,0.0007,0.003,0.248,0.804,-0.005,0.006,does not survive,,,,,,,,,,,,,,,,,,,,
29,fixed,NA,Probability1:Block3-2:Group1,-0.0102,0.003,-3.604,0,-0.016,-0.005,survive,,,,,,,,,,,,,,,,,,,,
30,fixed,NA,Probability1:Block4-3:Group1,0.0077,0.003,2.512,0.012,0.002,0.014,does not survive,,,,,,,,,,,,,,,,,,,,
31,fixed,NA,Probability1:Block5-4:Group1,0.0007,0.003,0.218,0.828,-0.006,0.007,does not survive,,,,,,,,,,,,,,,,,,,,
32,fixed,NA,Probability1:Session1:Group1,-0.0007,0.002,-0.436,0.665,-0.004,0.003,does not survive,,,,,,,,,,,,,,,,,,,,
33,fixed,NA,Block2-1:Session1:Group1,0.0017,0.006,0.284,0.777,-0.011,0.014,does not survive,,,,,,,,,,,,,,,,,,,,
34,fixed,NA,Block3-2:Session1:Group1,-0.0011,0.005,-0.205,0.838,-0.012,0.01,does not survive,,,,,,,,,,,,,,,,,,,,
35,fixed,NA,Block4-3:Session1:Group1,0.0004,0.006,0.063,0.95,-0.012,0.012,does not survive,,,,,,,,,,,,,,,,,,,,
36,fixed,NA,Block5-4:Session1:Group1,-0.0098,0.007,-1.418,0.162,-0.024,0.004,does not survive,,,,,,,,,,,,,,,,,,,,
37,fixed,NA,Probability1:Block2-1:Session1:Group1,0,0.003,-0.003,0.998,-0.005,0.005,does not survive,,,,,,,,,,,,,,,,,,,,
38,fixed,NA,Probability1:Block3-2:Session1:Group1,0.0001,0.003,0.043,0.966,-0.005,0.006,does not survive,,,,,,,,,,,,,,,,,,,,
39,fixed,NA,Probability1:Block4-3:Session1:Group1,0.0049,0.003,1.586,0.113,-0.001,0.011,does not survive,,,,,,,,,,,,,,,,,,,,
40,fixed,NA,Probability1:Block5-4:Session1:Group1,-0.008,0.003,-2.534,0.011,-0.014,-0.002,does not survive,,,,,,,,,,,,,,,,,,,,
,,,,Variance,,,,,,SD,,,,,,,,,,,,,,,,,,,,
41,ran_pars,Participant,sd__(Intercept),0.0171,,,,,,0.131,,,,,,,,,,,,,,,,,,,,
53,ran_pars,Participant,sd__Block2-1,0.0012,,,,,,0.034,,,,,,,,,,,,,,,,,,,,
64,ran_pars,Participant,sd__Block3-2,0.0008,,,,,,0.028,,,,,,,,,,,,,,,,,,,,
74,ran_pars,Participant,sd__Block4-3,0.0004,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
83,ran_pars,Participant,sd__Block5-4,0.0011,,,,,,0.032,,,,,,,,,,,,,,,,,,,,
91,ran_pars,Participant,sd__Session1,0.001,,,,,,0.032,,,,,,,,,,,,,,,,,,,,
98,ran_pars,Participant,sd__Probability1,0.0002,,,,,,0.013,,,,,,,,,,,,,,,,,,,,
104,ran_pars,Participant,sd__Block2-1:Session1,0.0012,,,,,,0.035,,,,,,,,,,,,,,,,,,,,
109,ran_pars,Participant,sd__Block3-2:Session1,0.0008,,,,,,0.029,,,,,,,,,,,,,,,,,,,,
113,ran_pars,Participant,sd__Block4-3:Session1,0.0011,,,,,,0.033,,,,,,,,,,,,,,,,,,,,
116,ran_pars,Participant,sd__Block5-4:Session1,0.0016,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
118,ran_pars,Participant,sd__Session1:Probability1,0.0001,,,,,,0.008,,,,,,,,,,,,,,,,,,,,
